time,open,high,low,close,volume
2026-08-14T08:14:00+09:00,159.458,159.458,159.457,159.457,10
2026-08-14T08:15:00+09:00,159.458,159.462,159.458,159.459,16
2026-08-14T08:16:00+09:00,159.46,159.47,159.459,159.462,45
2026-08-14T08:17:00+09:00,159.464,159.466,159.464,159.464,20
2026-08-14T08:18:00+09:00,159.466,159.472,159.466,159.472,12
2026-08-14T08:19:00+09:00,159.472,159.473,159.47,159.473,8
2026-08-14T08:20:00+09:00,159.474,159.474,159.472,159.473,8
2026-08-14T08:21:00+09:00,159.474,159.476,159.473,159.476,25
2026-08-14T08:22:00+09:00,159.476,159.476,159.476,159.476,5
2026-08-14T08:23:00+09:00,159.476,159.477,159.475,159.476,14
2026-08-14T08:24:00+09:00,159.476,159.476,159.474,159.474,10
2026-08-14T08:25:00+09:00,159.475,159.477,159.474,159.475,13
2026-08-14T08:26:00+09:00,159.474,159.478,159.474,159.474,7
2026-08-14T08:27:00+09:00,159.475,159.478,159.474,159.475,5
2026-08-14T08:28:00+09:00,159.478,159.478,159.474,159.475,13
2026-08-14T08:29:00+09:00,159.474,159.476,159.474,159.474,11
2026-08-14T08:30:00+09:00,159.475,159.475,159.474,159.474,6
2026-08-14T08:31:00+09:00,159.476,159.478,159.476,159.476,11
2026-08-14T08:32:00+09:00,159.476,159.478,159.476,159.476,7
2026-08-14T08:33:00+09:00,159.478,159.478,159.476,159.476,6
2026-08-14T08:34:00+09:00,159.478,159.482,159.476,159.478,19
2026-08-14T08:35:00+09:00,159.476,159.478,159.474,159.474,68
2026-08-14T08:36:00+09:00,159.477,159.478,159.474,159.476,11
2026-08-14T08:37:00+09:00,159.475,159.475,159.474,159.474,10
2026-08-14T08:39:00+09:00,159.475,159.475,159.475,159.475,1
2026-08-14T08:40:00+09:00,159.474,159.477,159.474,159.474,10
2026-08-14T08:41:00+09:00,159.476,159.476,159.473,159.473,7
2026-08-14T08:42:00+09:00,159.474,159.474,159.458,159.46,25
2026-08-14T08:43:00+09:00,159.46,159.46,159.45,159.458,47
2026-08-14T08:44:00+09:00,159.459,159.464,159.458,159.462,32
2026-08-14T08:45:00+09:00,159.463,159.464,159.457,159.458,42
2026-08-14T08:46:00+09:00,159.457,159.457,159.447,159.449,31
2026-08-14T08:47:00+09:00,159.45,159.45,159.446,159.446,19
2026-08-14T08:48:00+09:00,159.446,159.448,159.445,159.447,29
2026-08-14T08:49:00+09:00,159.446,159.45,159.446,159.449,35
2026-08-14T08:50:00+09:00,159.45,159.45,159.446,159.447,16
2026-08-14T08:51:00+09:00,159.448,159.448,159.446,159.446,16
2026-08-14T08:52:00+09:00,159.446,159.451,159.446,159.447,17
2026-08-14T08:53:00+09:00,159.448,159.45,159.446,159.446,32
2026-08-14T08:54:00+09:00,159.448,159.448,159.446,159.446,16
2026-08-14T08:55:00+09:00,159.446,159.446,159.446,159.446,3
2026-08-14T08:56:00+09:00,159.446,159.446,159.431,159.432,39
2026-08-14T08:57:00+09:00,159.433,159.434,159.432,159.432,18
