episode,offset_bd,date,close,recovery_pct,phase
E4,406,2026-02-06,157.240,-2.8,pre
E4,407,2026-02-09,155.899,-33.3,pre
E4,408,2026-02-10,154.379,-67.9,pre
E4,409,2026-02-11,153.270,-93.1,pre
E4,410,2026-02-12,152.738,-105.2,pre
E4,411,2026-02-13,152.711,-105.8,pre
E4,412,2026-02-16,153.520,-87.4,pre
E4,413,2026-02-17,153.299,-92.4,pre
E4,414,2026-02-18,154.824,-57.8,pre
E4,415,2026-02-19,155.001,-53.7,pre
E4,416,2026-02-20,155.076,-52.0,pre
E4,417,2026-02-23,154.674,-61.2,pre
E4,418,2026-02-24,155.902,-33.2,pre
E4,419,2026-02-25,156.364,-22.7,pre
E4,420,2026-02-26,156.135,-28.0,pre
E4,421,2026-02-27,156.066,-29.5,pre
E4,422,2026-03-02,157.360,-0.1,pre
E4,423,2026-03-03,157.694,7.5,pre
E4,424,2026-03-04,157.054,-7.1,pre
E4,425,2026-03-05,157.558,4.4,pre
E4,426,2026-03-06,157.822,10.4,pre
E4,427,2026-03-09,157.668,6.9,pre
E4,428,2026-03-10,158.066,16.0,pre
E4,429,2026-03-11,158.960,36.3,pre
E4,430,2026-03-12,159.350,45.2,pre
E4,431,2026-03-13,159.733,53.9,passage
E4,432,2026-03-16,159.046,38.3,post
E4,433,2026-03-17,159.000,37.2,post
E4,434,2026-03-18,159.868,56.9,post
E4,435,2026-03-19,157.709,7.8,post
E4,436,2026-03-20,159.228,42.4,post
E4,437,2026-03-23,158.429,24.2,post
E4,438,2026-03-24,158.705,30.5,post
E4,439,2026-03-25,159.474,48.0,post
E5,0,2026-05-06,156.370,23.5,pre
E5,1,2026-05-07,156.938,33.5,pre
E5,2,2026-05-08,156.686,29.0,pre
E5,3,2026-05-11,157.226,38.5,pre
E5,4,2026-05-12,157.615,45.4,pre
E5,5,2026-05-13,157.894,50.3,passage
E5,6,2026-05-14,158.384,58.9,post
E5,7,2026-05-15,158.776,65.8,post
E5,8,2026-05-18,158.858,67.2,post
E5,9,2026-05-19,159.080,71.1,post
E5,10,2026-05-20,158.934,68.5,post
E5,11,2026-05-21,158.990,69.5,post
E5,12,2026-05-22,159.206,73.3,post
E5,13,2026-05-25,158.929,68.4,post
E6,0,2026-08-03,157.195,23.1,pre
E6,1,2026-08-04,157.746,29.6,pre
E6,2,2026-08-05,157.770,29.9,pre
E6,3,2026-08-06,158.462,38.0,pre
E6,4,2026-08-07,157.805,30.3,pre
E6,5,2026-08-10,159.308,47.9,pre
E6,6,2026-08-11,159.290,47.7,pre
E6,7,2026-08-12,159.426,49.3,pre
E6,8,2026-08-13,159.518,50.4,passage
E6,9,2026-08-14,159.321,48.1,post
E6,10,2026-08-17,159.469,49.8,post
E6,11,2026-08-18,159.530,50.6,post
